book_name,stemmed
The Light We Carry,209 is a set of practic to help you stay calm optimist and confid in an unpredict world base on michel obama life experi as a woman mother lawyer daughter leader and the former first ladi of the unit state biographi
Dear Girls,210 is a collect of letter written by comedian ali wong to her two daughter recount tale from her youth and life in an attempt to pass on some hardearn wisdom to them and anyon will to listen to her stori biographi
On Writing,211 detail stephen king journey to becom one of the bestsel author of all time while deliv hardwon advic on the craft to aspir writer biographi
Never Finished,212 is an inspir blueprint for level up in the game of life that never end offer 8 evolut of thought pain truth and motiv stori to help you smash ani and all glass ceil in your life biographi
Will,213 is worldfam actor and musician will smith autobiographi outlin hi life stori all the way from hi humbl begin in west philadelphia to achiev fame as a musician and then global stardom as an actor and ultim one of the most influenti peopl of our time biographi
The Code Breaker,214 detail the life of nobel prize winner jennif doudna who embark on and success complet a journey to invent a tool that allow us to edit the human genet code and thu will chang our live health and futur gener forev biographi
Siddhartha,215 present the selfdiscoveri expedit of a man dure the time of the buddha who unsur of what life realli mean to him take an exploratori journey to pursu the high and low of life which ultim lead him to discov the equilibrium in all thing and a higher wisdom within biographi
Permanent Record,216 delv into the life stori of edward snowden the wellrenown nation whistleblow who built the expo on stellarwind the us mass surveil program use to spi on american citizen biographi
The Undoing Project,217 talk about the life and extens research in the psycholog of kahneman and tverski by bring forth some of the most influenti and groundbreak discoveri they unveil about human behavior and the bias in our decis biographi
Love Warrior,218 delv into the life of glennon doyl a woman who battl with selfdestruct behavior eat disord depress and mani more challeng befor final embrac the life she deserv and start live meaning while be true to herself biographi
